file,mu0,gamma0,beta0,eta0,kappa0,lambda0,scale0
PG5PC2a-20171227060222.pkl,2.37849294858,8.24139598317,64.643403329,23.6044891593,9.35810763868,27.2945372483,0.458990517489
PG5PC2a-20171227061511.pkl,3.51952439131,11.150901127,69.6827536543,94.001806634,32.5476820571,97.6130997418,0.272245864049
PG5PC2a-20171227064053.pkl,3.30335802876,3.31072923627,47.6724758372,62.2423846594,45.9605659771,79.8521387676,0.404916566098
PG5PC2a-20171227064430.pkl,3.5395790525,22.3447528515,42.6798722293,72.6288907647,32.2118950495,68.4896966989,0.770793498492
PG5PC2a-20171227070057.pkl,0.719630391031,28.2334094596,87.5158346122,37.3154928518,50.8452914818,65.0121356948,0.894897761289
PG5PC2a-20171227070425.pkl,2.61541332847,23.028889029,48.0100935153,52.5462772474,98.4205722718,9.33468494822,0.8755253296
PG5PC2a-20171227071100.pkl,3.91172352515,11.3487809838,41.6783521011,86.9493037168,5.26556560919,3.85315420449,0.233375653822
PG5PC2a-20171227071733.pkl,1.21137500467,10.1909665001,40.0848698493,81.0088003233,96.4624643825,28.6112586284,0.903830676524
PG5PC2a-20171227073200.pkl,3.1175794953,22.1119139856,24.4741978995,70.791223678,48.1522396439,72.6701260646,0.321693026015
PG5PC2a-20171227074516.pkl,2.88193474976,7.01449472485,57.7043681202,18.8279143389,70.4662049731,82.5483216104,0.862072697231
PG5PC2a-20171227075200.pkl,2.61173065649,21.3165860402,70.1525404854,21.1462640593,26.5111500532,5.174806039,0.0668649053601
PG5PC2a-20171227080524.pkl,2.78106583125,8.11730242538,75.9870420193,25.3707582089,91.3054902922,8.78643903441,0.718628199867
PG5PC2a-20171227080857.pkl,2.48439814905,5.81990040929,13.9537764077,16.5523510929,66.8955237461,74.8054102541,0.888070965827
PG5PC2a-20171227081236.pkl,1.72888681287,28.3982747449,39.7738772252,57.5699747059,37.0131833333,95.0546240685,0.581252244788
PG5PC2a-20171227081932.pkl,3.87903182162,2.24948859371,14.251618966,61.4921539124,46.6492334307,90.2027007779,0.665287993592
