sender_id,receiver_id,corrected,value
101,129,1,3.0
52,30,1,3.0
185,25,1,3.0
34,315,1,4.0
53,77,1,2.0
101,58,1,3.0
123,165,1,3.0
132,165,0,3.0
34,326,1,2.0
247,337,1,2.0
109,58,1,3.0
140,30,1,2.0
247,16,1,1.0
97,31,0,4.0
10,60,1,2.0
52,58,1,3.0
62,96,1,3.0
132,165,0,3.0
132,223,1,2.0
221,231,0,4.0
247,58,0,3.0
132,342,1,2.0
267,58,1,2.0
154,99,1,2.0
121,296,0,3.0
123,130,1,2.0
113,165,1,3.0
34,19,1,2.0
132,129,0,2.0
97,165,0,4.0
97,360,1,4.0
45,58,0,2.0
109,113,1,3.0
52,57,1,3.0
30,247,1,2.0
132,129,1,2.0
34,246,1,1.0
165,287,0,2.0
34,350,1,3.0
132,58,1,3.0
5,324,1,3.0
5,121,0,4.0
165,58,1,2.0
132,8,1,3.0
34,39,0,4.0
113,8,0,4.0
132,16,0,3.0
280,292,0,3.0
34,343,1,1.0
154,185,1,2.0
101,58,1,2.0
57,34,1,3.0
226,326,0,3.0
132,312,0,3.0
132,58,1,3.0
30,269,0,0.0
84,114,0,4.0
97,58,1,4.0
101,34,1,3.0
107,53,1,2.0
5,327,1,3.0
165,182,0,1.0
123,244,1,1.0
97,58,1,4.0
132,58,0,3.0
247,333,1,3.0
132,165,1,3.0
34,322,1,2.0
3,58,1,3.0
111,138,0,4.0
132,296,0,3.0
101,164,1,3.0
166,58,1,2.0
154,165,0,3.0
165,166,0,4.0
132,58,1,2.0
14,47,0,4.0
154,25,0,3.0
123,247,1,4.0
101,159,1,3.0
34,269,0,0.0
144,165,1,4.0
14,60,1,3.0
132,58,0,3.0
101,30,1,2.0
34,12,1,2.0
132,350,0,4.0
34,266,1,1.0
247,325,0,4.0
247,58,1,3.0
154,134,1,3.0
247,58,1,3.0
172,134,1,3.0
165,215,0,2.0
138,187,1,3.0
34,140,1,2.0
247,58,0,3.0
101,30,0,3.0
165,140,1,4.0
34,269,0,0.0
60,204,0,3.0
247,354,1,2.0
3,233,1,3.0
170,209,1,1.0
14,110,1,4.0
34,31,1,2.0
123,247,0,4.0
247,174,0,3.0
3,202,1,3.0
154,165,0,4.0
107,166,0,4.0
34,211,1,1.0
34,53,1,2.0
97,159,1,4.0
133,14,1,1.0
114,19,1,4.0
247,310,0,3.0
108,335,1,3.0
34,162,1,4.0
34,256,1,1.0
140,207,1,2.0
5,58,1,3.0
5,360,1,3.0
34,266,1,0.0
132,215,0,3.0
132,165,0,3.0
165,133,1,2.0
132,420,0,3.0
122,154,1,3.0
166,326,1,3.0
247,325,1,1.0
166,20,1,3.0
125,53,1,2.0
165,215,1,2.0
135,130,1,4.0
101,58,1,3.0
52,165,1,4.0
101,120,1,3.0
57,34,0,4.0
165,44,1,2.0
60,55,0,4.0
101,8,1,2.0
101,5,1,3.0
101,154,1,3.0
166,382,1,4.0
247,58,1,3.0
154,30,0,3.0
192,166,0,3.0
5,379,1,3.0
34,391,1,1.0
101,30,1,3.0
51,168,1,3.0
247,58,1,1.0
165,154,1,3.0
267,287,1,3.0
62,154,1,1.0
247,276,1,3.0
132,12,0,3.0
34,165,1,2.0
66,165,1,1.0
34,352,1,2.0
267,166,0,4.0
123,195,1,3.0
159,134,1,3.0
133,162,1,1.0
140,169,1,2.0
247,58,1,3.0
123,225,1,3.0
34,195,1,1.0
165,170,1,2.0
106,165,0,4.0
113,14,0,4.0
132,217,0,2.0
247,359,0,3.0
165,162,0,3.0
101,58,1,2.0
166,58,1,2.0
132,58,0,3.0
114,165,0,4.0
247,16,1,4.0
57,101,1,2.0
57,58,1,3.0
62,79,1,3.0
30,58,1,3.0
101,109,1,2.0
107,123,0,3.0
4,38,1,1.0
109,8,1,3.0
160,172,0,4.0
433,58,1,4.0
34,347,1,1.0
7,210,1,2.0
101,109,0,3.0
132,165,0,3.0
170,129,1,2.0
132,298,0,2.0
165,107,1,3.0
165,66,0,1.0
140,58,1,2.0
158,166,0,4.0
267,58,0,2.0
34,326,1,2.0
34,308,1,1.0
60,61,0,4.0
62,79,1,2.0
132,261,1,2.0
192,277,1,3.0
109,91,1,3.0
14,58,1,2.0
247,291,1,1.0
97,367,1,3.0
34,58,1,2.0
132,165,0,3.0
14,133,1,3.0
123,34,0,4.0
247,184,1,2.0
165,96,0,4.0
97,165,1,3.0
5,58,0,4.0
32,86,1,3.0
39,294,1,0.0
123,214,1,3.0
123,194,1,1.0
165,162,1,3.0
52,98,1,3.0
247,427,1,2.0
